level_0,index,section_name,row_name,seat,center_distance,angle,prediction,normalized,seat_score
6887,2148,16,17,2,126.27,0.0554,131.8185366,-0.948509006,0.035156349
6886,2146,16,17,17,126.24,0.0554,131.8397561,-0.948327603,0.035183591
6885,2045,16,11,7,108.03,0.0207,131.8507317,-0.948233774,0.035197682
6884,2033,16,11,12,108.02,0.0207,131.8563415,-0.948185817,0.035204884
6883,583,106,7,8,136.13,0.691,131.8782927,-0.947998159,0.035233065
6882,1443,126,7,1,136.12,0.691,131.9214634,-0.947629098,0.035288489
6881,2463,17,20,12,139.83,0.1541,132.0780488,-0.946290469,0.035489516
6880,1946,15,20,8,139.82,0.1541,132.0895122,-0.94619247,0.035504233
6879,1915,15,19,13,134.45,0.1087,132.1087805,-0.946027747,0.03552897
6878,2434,17,18,5,134.55,0.1106,132.2619512,-0.94471831,0.035725614
6877,2097,16,14,5,117,0.0351,132.3060976,-0.944340908,0.03578229
6876,2089,16,14,14,116.98,0.0351,132.3131707,-0.944280441,0.035791371
6875,2439,17,19,1,130.3,0.0807,132.4741463,-0.94290428,0.035998035
6874,2131,16,16,3,123.16,0.0489,132.55,-0.942255817,0.036095417
6872,2464,17,20,13,140.26,0.1608,132.5534146,-0.942226625,0.036099801
6873,1945,15,20,7,140.26,0.1608,132.5534146,-0.942226625,0.036099801
6871,2127,16,16,16,123.13,0.0489,132.5658537,-0.942120286,0.036115771
6870,1902,15,18,16,130.31,0.0821,132.6702439,-0.941227866,0.036249789
6869,2114,16,15,4,120.06,0.0421,132.68,-0.941144463,0.036262314
6868,1914,15,19,12,134.8,0.1157,132.6878049,-0.94107774,0.036272334
6867,2108,16,15,15,120.04,0.0421,132.6892683,-0.941065229,0.036274213
6866,2062,16,12,6,111.04,0.0284,132.7363415,-0.940662807,0.036334646
6865,928,110,8,4,141.28,0.6778,132.7385366,-0.940644041,0.036337465
6864,2052,16,12,13,111.02,0.0284,132.744878,-0.940589828,0.036345606
6863,1206,122,8,5,141.27,0.6778,132.7587805,-0.940470978,0.036363454
6862,2435,17,18,6,134.94,0.1176,132.7917073,-0.940189491,0.036405726
6861,2138,16,17,1,126.47,0.0628,132.8870732,-0.93937422,0.036528159
6860,2147,16,17,18,126.43,0.0628,132.9163415,-0.939124009,0.036565734
6859,2465,17,20,14,140.71,0.1673,132.9914634,-0.938481801,0.036662177
6858,1944,15,20,6,140.7,0.1673,133.0043902,-0.938371291,0.036678773
6857,1913,15,19,11,135.18,0.1226,133.2131707,-0.936586452,0.03694681
6856,2448,17,19,2,130.56,0.0878,133.2629268,-0.936161094,0.037010688
6855,2436,17,18,7,135.34,0.1247,133.3182927,-0.935687778,0.037081768
6854,927,110,8,3,140.49,0.6838,133.342439,-0.935481354,0.037112767
6853,1207,122,8,6,140.48,0.6838,133.364878,-0.935289526,0.037141575
6852,1901,15,18,15,130.58,0.0892,133.444878,-0.934605615,0.037244281
6850,2466,17,20,15,141.17,0.1739,133.4495122,-0.934565999,0.03725023
6851,1943,15,20,5,141.17,0.1739,133.4495122,-0.934565999,0.03725023
6849,2079,16,13,5,114.07,0.0358,133.4982927,-0.93414898,0.037312856
